gyrx1,gyry1,gyrz1,accx1,accy1,accz1,gyrx2,gyry2,gyrz2,accx2,accy2,accz2
54,-46,-51,6.871484279632568,-6.321191310882568,7.359570503234863,-133,-59,97,2.138964891433716,4.5458984375,9.49375057220459
49,53,-9,5.258886814117432,-2.3016602993011475,1.8279297351837158,46,-24,79,3.8329102993011475,3.7372071743011475,9.771288871765137
3,91,44,2.856738328933716,0.3636718690395355,-2.024121046066284,102,-3,48,5.273242473602295,6.526953220367432,13.92002010345459
6,98,87,5.426367282867432,0.16269531846046448,-0.751269519329071,30,-35,35,7.507910251617432,8.670702934265137,13.628125190734863
-17,92,66,10.88144588470459,-3.5888671875,0.4737304747104645,-13,-43,64,10.723535537719727,6.828418254852295,5.04833984375
-7,17,16,8.005566596984863,-2.6031250953674316,13.451074600219727,-35,-3,106,5.847461223602295,8.41709041595459,-2.1581056118011475
-38,-90,-3,6.72314453125,-4.129590034484863,16.456151962280273,-46,-41,135,2.670117139816284,2.99072265625,-0.851757824420929
-36,-144,-28,6.072363376617432,-4.933495998382568,16.279102325439453,-22,-36,133,3.9190430641174316,2.9189453125,-0.4976562559604645
-12,-96,-38,6.249413967132568,-5.134472846984863,8.03427791595459,-39,-33,103,2.9237306118011475,3.813769578933716,8.421875
-12,0,-12,6.168066501617432,-3.9860353469848633,4.526757717132568,-50,-40,78,3.7707033157348633,5.866601467132568,9.173144340515137
27,46,13,6.134570598602295,-2.450000047683716,2.8232421875,69,-8,74,3.6080079078674316,3.5123047828674316,9.130078315734863
25,69,40,6.177636623382568,-1.5886719226837158,0.11962890625,92,-29,46,4.469336032867432,6.139355659484863,10.364648818969727
26,81,68,5.2158203125,0.8134765625,0.660351574420929,17,-30,34,6.273339748382568,8.287890434265137,12.36962890625
1,55,76,9.2353515625,-3.3687500953674316,2.4834961891174316,6,-78,54,8.216113090515137,8.761621475219727,10.326367378234863
13,59,45,8.742480278015137,-2.60791015625,8.06298828125,-42,-20,79,9.5224609375,8.22568416595459,-1.244140625
-26,-22,8,7.05810546875,-4.268359661102295,15.125879287719727,-74,8,114,4.751660346984863,7.168164253234863,-0.45458984375
-41,-106,-7,5.52685546875,-3.7994141578674316,16.14990234375,-38,-32,128,2.36865234375,2.933300733566284,0.09091796725988388
-88,-146,-35,7.3212890625,-6.125,12.312207221984863,-26,-42,111,3.454882860183716,2.87109375,3.311328172683716
