gyrx1,gyry1,gyrz1,accx1,accy1,accz1,gyrx2,gyry2,gyrz2,accx2,accy2,accz2
187,76,-62,-7.527050971984863,-7.39306640625,0.55029296875,187,-119,-69,-7.383496284484863,5.900097846984863,-1.5695313215255737
206,65,-61,-6.909765720367432,-5.512500286102295,1.50732421875,195,-118,-64,-7.713672161102295,5.660840034484863,-1.2824219465255737
208,66,-52,-7.469629287719727,-7.445703506469727,1.1005859375,194,-120,-63,-8.551074028015137,5.632129192352295,-1.3494141101837158
209,57,-57,-7.986425876617432,-7.168164253234863,1.55517578125,187,-118,-67,-8.383593559265137,6.498242378234863,-1.368554711341858
181,39,-77,-7.5126953125,-8.30224609375,-0.11962890625,185,-115,-66,-7.924219131469727,6.522168159484863,-0.83740234375
165,31,-98,-8.70419979095459,-7.283008098602295,0.5263671875,182,-118,-61,-8.58457088470459,7.39306640625,-1.512109398841858
149,14,-99,-9.51767635345459,-6.4599609375,1.1819336414337158,174,-115,-53,-7.3212890625,7.077246189117432,-1.3972656726837158
181,40,-108,-9.268847465515137,-5.555566310882568,0.870898425579071,208,-125,-58,-8.043848037719727,6.761425971984863,-1.7130860090255737
131,42,-107,-7.579687595367432,-4.727734565734863,3.4405274391174316,229,-134,-59,-7.761523723602295,6.225488185882568,-2.359081983566284
122,32,-116,-7.05810546875,-8.25439453125,3.08642578125,263,-157,-41,-9.64208984375,5.177539348602295,-0.55029296875
81,-25,-134,-7.613183975219727,-8.173047065734863,5.6943359375,291,-184,19,-10.26416015625,8.20654296875,-1.22021484375
-1,-92,-168,-8.7568359375,-10.76181697845459,7.211230754852295,304,-222,124,-11.800195693969727,11.86240291595459,1.3015625476837158
-32,-116,-203,-9.048730850219727,-13.049120903015137,5.206250190734863,219,-233,214,-8.196972846984863,14.4033203125,-0.2392578125
-13,-106,-234,-7.216015815734863,-13.70468807220459,2.5313477516174316,118,-231,256,-3.6797852516174316,12.116015434265137,-1.823144555091858
-30,-94,-259,-7.15380859375,-12.48447322845459,0.07656250149011612,94,-203,273,0.6507812738418579,9.120508193969727,-2.94287109375
-69,-75,-264,-6.3642578125,-10.675683975219727,-1.239355444908142,43,-99,249,2.1581056118011475,6.479101657867432,-3.981250047683716
