gyrx1,gyry1,gyrz1,accx1,accy1,accz1,gyrx2,gyry2,gyrz2,accx2,accy2,accz2
-2,-1,1,-9.101366996765137,-2.1581056118011475,1.5408203601837158,0,0,0,-8.723340034484863,1.8662109375,2.8041017055511475
-3,-1,0,-9.077441215515137,-2.1581056118011475,1.5456055402755737,-1,0,0,-8.785547256469727,1.9619140625,2.813671827316284
-1,-1,0,-9.029589653015137,-2.08154296875,1.5791015625,-3,1,0,-8.708984375,1.9571290016174316,2.808886766433716
-2,-1,1,-9.048730850219727,-2.1102540493011475,1.55517578125,-1,1,0,-8.718554496765137,1.9571290016174316,2.8758790493011475
-1,-1,0,-9.08701229095459,-2.162890672683716,1.5216797590255737,-1,1,0,-8.713769912719727,1.966699242591858,2.8902344703674316
0,-1,0,-9.03916072845459,-2.143749952316284,1.5456055402755737,-1,1,1,-8.70419979095459,1.9140625,2.9141602516174316
0,-1,0,-9.053515434265137,-2.067187547683716,1.5647461414337158,0,0,0,-8.785547256469727,1.9284180402755737,2.904589891433716
-1,-1,0,-9.082226753234863,-2.0863282680511475,1.559960961341858,-1,0,0,-8.718554496765137,1.9332032203674316,2.904589891433716
-2,-1,0,-9.048730850219727,-2.095898389816284,1.50732421875,-2,0,0,-8.68027400970459,1.8518555164337158,2.8998048305511475
-1,0,0,-9.101366996765137,-2.091113328933716,1.53125,-1,0,0,-8.785547256469727,1.966699242591858,2.8663086891174316
-2,0,0,-9.01523494720459,-2.143749952316284,1.5695313215255737,-1,0,0,-8.737695693969727,1.9140625,2.832812547683716
-1,0,1,-9.058300971984863,-2.1820313930511475,1.536035180091858,-1,0,0,-8.72812557220459,1.942773461341858,2.79931640625
0,0,0,-9.06787109375,-2.2059571743011475,1.5408203601837158,0,0,0,-8.6611328125,1.8805664777755737,2.8184571266174316
0,0,0,-9.072656631469727,-2.1246094703674316,1.5695313215255737,-1,0,0,-8.771191596984863,2.0528321266174316,2.856738328933716
-1,0,0,-9.03916072845459,-2.071972608566284,1.559960961341858,-1,0,0,-8.766406059265137,1.9954102039337158,2.8902344703674316
-1,-1,1,-9.058300971984863,-2.138964891433716,1.550390601158142,0,0,0,-8.641992568969727,2.03369140625,2.8758790493011475
-1,-1,0,-9.082226753234863,-2.186816453933716,1.526464819908142,-1,0,0,-8.70419979095459,1.9810547828674316,2.9189453125
0,0,0,-9.053515434265137,-2.2203125953674316,1.536035180091858,0,0,0,-8.699414253234863,1.9810547828674316,2.89501953125
0,0,0,-9.08701229095459,-2.1963868141174316,1.5647461414337158,-1,0,0,-8.766406059265137,1.9475586414337158,2.84716796875
0,0,0,-9.048730850219727,-2.162890672683716,1.559960961341858,-2,0,0,-8.675488471984863,2.0289063453674316,2.87109375
0,0,0,-9.077441215515137,-2.162890672683716,1.5647461414337158,-2,0,0,-8.73291015625,1.9954102039337158,2.8663086891174316
