gyrx1,gyry1,gyrz1,accx1,accy1,accz1,gyrx2,gyry2,gyrz2,accx2,accy2,accz2
-1,40,2,-6.952832221984863,-5.612988471984863,-2.1246094703674316,28,-18,-6,-8.723340034484863,2.583984375,0.6986328363418579
9,37,6,-7.665820598602295,-6.689648628234863,-0.4976562559604645,7,-3,-2,-8.87646484375,2.6605470180511475,0.39238283038139343
-5,11,3,-7.751953125,-5.727832317352295,0.2823242247104645,7,9,3,-8.06298828125,2.3447265625,0.588574230670929
-25,4,1,-7.493555068969727,-5.823535442352295,-0.5455078482627869,-2,19,2,-7.972070693969727,2.4452149868011475,0.512011706829071
-19,7,-14,-6.847558498382568,-5.828320503234863,-1.406835913658142,-7,26,5,-8.25439453125,2.3447265625,0.12919922173023224
-5,15,-22,-6.909765720367432,-6.067578315734863,-1.1867188215255737,-19,38,9,-9.4267578125,3.0672852993011475,0.875683605670929
4,9,-20,-7.957715034484863,-6.091504096984863,-0.827832043170929,-40,10,-2,-11.21640682220459,0.15791015326976776,4.727734565734863
-20,-3,7,-8.455370903015137,-5.971875190734863,-1.9044922590255737,19,-24,-8,-11.115918159484863,1.4833984375,1.7848633527755737
-31,0,26,-7.560546875,-6.608300685882568,-2.0528321266174316,33,-37,-6,-9.130078315734863,1.9236328601837158,-0.06699218600988388
-18,10,23,-7.134667873382568,-6.134570598602295,-1.6652344465255737,34,-47,-4,-8.149121284484863,1.9140625,0.83740234375
17,10,17,-7.493555068969727,-6.689648628234863,-0.8086914420127869,25,-41,-7,-8.263964653015137,2.186816453933716,1.0862305164337158
15,0,9,-7.5126953125,-5.842675685882568,-0.870898425579071,13,-26,0,-8.259180068969727,2.0145509243011475,0.9378906488418579
7,-12,10,-7.665820598602295,-5.445508003234863,-1.3541992902755737,10,-8,9,-8.431445121765137,2.306445360183716,1.6604492664337158
8,-21,19,-7.402637004852295,-5.158398628234863,-2.1533203125,28,-4,19,-7.857226848602295,2.8280274868011475,2.143749952316284
0,-24,24,-7.708887100219727,-5.2158203125,-2.009765625,25,7,25,-7.732812881469727,3.4644532203674316,2.0528321266174316
